no,src,tgt,basic_ingredient
9600,cumi tahu nyemek😋,1 / 2 kg cumi segar || 1 papan tempe || 5 biji tahu putih || 1 bungkus santan kara kecil || 9 buah bawang merah || 3 siung bawang putih || 2 biji cabe besar || 1 buah tomat  ( optional )  || 5 biji cabe kecil  ( optional )  || 1 ruas jahe || 1 lembar daun jeruk || 5 sendok mkan kecap manis || 1 buah jeruk nipis  / air asam jawa || ,tahu
4466,sate kambing sederhana #kitaberbagi,"500 gram daging kambing || bumbu utk ngerebus daging :  || 5 lmbr daun salam || 3 lmbr daun jeruk || 1 btg sereh ,  geprek || 1 ruas jahe uk ibu jari ,  geprek || 3 cm kayu manis || bumbu halus utk marinasi sate :  || 7 bh bawang merah || 5 bh bawang putih || 1 ruas jahe || 1 sdt ketumbar bubuk || 1 sdt lada /  merica bubuk || sedikit garam || secukupnya kecap manis || 2 sdm mentega || 1 sdm saus tiram ||  # tusukan sate || ",kambing
9849,gulai tempe telor,"1 papan tempe  ( potong2 )  || telor  ( rebus ,  kupas )  || 1 bks kara || 3 siung bawang putih || 6 siung bawang merah || secukupnya cabe keriting || secukupnya ketumbar || secukupnya kayu manis || secukupnya kapulaga || bunga lawang secukupnya || secukupnya jinten || 2 buah kemiri || salam || sere || secukupnya minyak goreng || secukupnya air || secukupnya kunyit || secukupnya penyedap /  gula || secukupnya garam || ",telur
1744,opor ayam tahu presto,7 potong ayam paha || 5 kotak tahu iris segi tiga || 1 ruas jari lengkuas geprek || 6 lembar daun jeruk remuk2 || 1 buah chili merah iris bulat || 2 batang daun bawang || bumbu halus :  || 6 siung bawang merah || 5 siung bawang putih || 1 / 2 sdt merica bubuk || 1 / 2 sdt ketumbar bubuk || 1 blok knorr || 1 bungkus santan instan 200 ml || 1 ruas jahe || 1 ruas kunyit || 4 buah kemiri || secukupnya garam dan gula || secukupnya air || secukupnya minyak menumis || ,ayam
7302,asem-asem balungan & tetelan sapi bumbu uleg,"1 / 4 kg daging tetelan sapi || 1 / 4 kg balungan sapi || bumbu uleg  :  || 10 bawang merah || 3 bawang putih || 1 sdm terasi || 2 cm laos , parut || 3 cabe kriting || secukupnya garam || secukupnya gula  ( sy tropicana )  || secukupnya masako ||  🍅 sayuran  :  || secukupnya buncis || 1 bh wortel || 1 bh tomat ||  🌻 3 - 4 bh asam jawa  ( asem mateng )  || ",sapi
3580,ikan kembung tepung bumbu pedas,3 ekor ikan kembung || tepung terigu  ( secukupnya )  untuk melumuri ikan agak tidak lengke || 5 buah cabe rawit || kaldu ayam /  penyedap rasa  ( secukupnya )  || gula pasir  ( secukupnya )  || minyak untuk menumis || bumbu halus / uleg :  || 5 buah cabe keriting || 5 siung bawang merah || 1 siung bawang putih || ketumbar  ( secukupnya )  || ,ikan
10181,gule daun singkong campur tahu dan telor ala rumahan,2 iket daun singkong ( disiangi dan rebus )  || 4 butir telor rebus || 10 tahu kulit coklat  ( digorengdulu sebentar )  || 4 daun jeruk || 1 batang sereh || 1 / 2 santan kara || 5 cabe rawit ( boleh lebih )  || garam || gula pasir || penyedap rasa || bahan yang dihaluskan :  || 8 bawang merah || 4 bawang putih || 5 cabe keriting  ( sesuai selera )  || 2 kemiri || 1 kunyit || ,telur
7756,tumis tahu kacang panjang,1 ikat kcg pnjag uk . kecil  ( mgkin skitran cm 5 kcg pjg diptong2 )  || 4 buah tahu putih  ( potong kotak )  || 1 genggam kcambah besar || 7 siung bamer || 4 siung baput || 9 cabe rawit || 1 sdm saos tiram || secukupnya garam gula || ,tahu
3121,gurami crispy + sambal terong,1 ekor gurami  ( di polong filled )  || 1 butir telor || bahan tepung  :  || tepung crispy  ( saya pakai sajiku )  || secukupnya garam || bahan rendaman ikan  :  || 1 bawang putih || 1 / 2 sdt  merica || ,ikan
950,kepala ayam cabai hijau,4 potong kepala ayam || 3 siung bawang merah || 3 siung bawang putih || 10 buah cabai hijau besar || 5 buah cabai rawit hijau || 2 butir kemiri || 1 lembar daun jeruk || 1 lembar daun salam || seruas lengkuas || 1 sdt garam || 1 sdt gula || 1 sdt lada bubuk || secukupnya air || ,ayam
9850,telur dan terong sambel,2 buah telur || 1 terong || gula merah || bumbu yg di haluskan || 4 buah cabai   ( karna ga doyan pedes )  || 1 tomat || 5 siung bawang merah || 1 siung bawang putih || garam || ,telur
4952,tongseng kambing,1 / 2 kg daging kambing || 1 / 2 buah kol || 2 buah tomat || 10 buah cabai rawit merah || bumbu halus  :  || 6 siung bawang merah || 4 siung bawang putih || 1 ruas jahe || 1 ruas kunyit || 3 biji kemiri || 1 sdt ketumbar bubuk || 2 batang sereh  ( digeprek )  || 1 sdt merica bubuk || 3 lembar daun salam || 3 sdm minyak goreng untuk menumis || secukupnya kecap || sesuai selera garam / penyedap || air || ,kambing
10540,cheesy steamed egg,"1 butir telur ,  kocok lepas || secukupnya keju parut || sesuai selera garam dan lada || ",telur
12003,tempe mendoan,"1 papan tempe ,  iris persegi dan tipis - tipis || 5 sdm tepung terigu || 2 helai daun bawang ,  iris - iris || 2 helai daun jeruk ,  iris - iris || bumbu halus :  || 1 sdm ketumbar || 1 sdm kemiri bubuk || 1 / 2 sdt kunyit bubuk || 2 siung bawang putih || 3 siung bawang merah || secukupnya garam || secukupnya penyedap rasa || secukupnya air || secukupnya minyak goreng || ",tempe
1042,sop ayam simple,4 potong ayam || 4 siung bawang merah || 3 siung bawang putih || sayur untuk sop || secukupnya minyak || secukupnya garam || secukupnya gula || secukup nya air || ,ayam
1958,ikan tenggiri pesmol segar,500 gram ikan tenggiri  ( rendam dengan air perasan jeruk nipis dan garam )  || secukupnya cabai rawit || 1 buah tomat || secukupnya air perasan jeruk nipis || bahan bumbu halus :  || 5 siung bawang merah || 5 siung bawang putih || 1 batang kunyit || 7 buah kemiri || ,ikan
3586,nasi goreng tongkol,1 piring nasi putih || 1 ikan tongkol potong || 1 telur || 2 potong otak - otak || bumbu :  || 3 bawang merah || 1 bawang putih || garam || secukupnya lada || pgn pake cabe tp cabenya abis  😁  || kecap manis || ,ikan
13535,perkedel tempe,"1 buah tempe ukuran sedang hancurkan || sejumput bayam cacah || 1 buah wortel uk sedang || 1 buah telur || 3 buah bawang putih cacah halus || garam ,  gula pasir ,  masako ayam || tepung terigu || ",tempe
5734,asem asem daging sapi,"1 / 4 kg daging sapi ,  cui lalu potong kecil2 || 100 gram buncis poton2 || 2 buah wortel ,  kupas lalu potong potong || 1 buah tomat iris2 || bumbu2 || asam jawa secukupnya sampai didapat rasa asam yg diinginkan || 4 siung bawang merah iris || 4 siung bawang putih iris || 1 / 2 bawang bombay iris || 6 buah cabai hijau besar iris || 4 buah cabai merah keriting iris || 1 lembar daun salam || laos geprek || kecap manis || garam || gula || penyedap rasa || ",sapi
6654,daging sapi saos teriyaki untuk 1 thn keatas,2 ons daging sapi || 2 biji bawang putih || 1 biji bawang merah || 1 / 4 bawang bombay || 4 potong kecil paprika  ( sesuai selera )  || 2 sdm saos teriyaki || 1 sdm blueband || garam || lada bubuk || air || ,sapi
13390,tumis kacang panjang tempe mudah,kacang panjang || tempe || 3 siung bawang merah || 3 siung bawang putih || 3 buah cabai merah || 1 / 2 gelas air || garam || gula pasir || merica || penyedap rasa ayam || kecap manis || ,tempe
6630,bistik lidah sapi,"400 - 500 gr lidah sapi  ( sudah dipresto ,  dibersihkan dan diiris )  || 1 buah kentang ,  kupas ,  potong ,  goreng hingga kecokelatan || 1 butir bawang bombay ,  iris || secukupnya air ,  garam ,  kaldu || 1 sdm margarin /  butter || 2 sdm bawang goreng ||  💠 bumbu marinasi :  || 6 siung bawang putih ,  haluskan || 6 sdm kecap manis || 3 sdm kecap jamur /  kecap asin || 3 sdm saus tiram || 1 - 1 , 5 sdt lada bubuk || 1 sdt ketumbar bubuk || secukupnya pala bubuk || ",sapi
8643,cecek tahu kentang kuah kelapa,1 bungkus cecek || 1 bungkus tahu sy isi 4 potong kecil  &  goreng || 2 buah kentang kecil potong kotak  &  goreng || 1 bungkus kelapa parut  +  - 75 gr || 3 serai geprek || 3 daun salam || 1 sdm bawang goreng  ( untuk taburan )  || 1 sdt kecap || secukupnya gula  &  garam || secukupnya minyak u /  menumis || secukupnya air ||  🌾  bumbu dihaluskan  🌾  || 10 bh cabe merah || 4 siung bawang putih || 12 siung bawang merah || 1 ruas lengkuas || 1 / 2 bh tomat || ,tahu
4588,sate kambing bumbu kacang,1 / 4 kg daging kambing || 1 buah jeruk nipis || tusuk sate || secukupnya kecap manis || bumbu  :  || 1 ons kacang tanah || 1 siung bawang putih || 1 buah kemiri || 2 siung bawang merah || 1 / 2 sdt merica || 1 / 2 sdt garam || 1 sdt gula pasir || 3 sdm kecap manis || sedikit penyedap rasa || ,kambing
5702,tongseng kering,1 kg kambing tanpa tulang potong dadu || bahan rendaman kambing :  || 1 sdt ketumbar bubuk || 1 sdt jintan bubuk || 10 siung bawang merah || 5 siung bawang putih || secukupnya garam dan lada || sayuran pelengkap :  || 1 buah kembang kol bombay iris memanjang besar || 1 btg daun bawang iris serong tebal || 1 buah paprika hijau dan merah iris memanjan || 1 buah tomat potong menjadi 8 bagian || sesuai selera emping goreng || sesuai selera cabe rawit utuh bila suka pedas || secukupnya kecap manis || secukupnya blue band utk menumis || ,kambing
12536,tempe isi,2 papan tempe || isian  :  || sesuai selera bawang merah || secukupnya cabe merah || secukupnya cabe rawit || gula || garam || penyedap  ( optional )  || bahan kulit  :  || 7 sdm tepung terigu || 2 sdm tepung beras || 3 siung bawang putih || secukupnya ketumbar || 1 ruas kunyit || garam || air || ,tempe
6018,daging sapi tumis bawang bombay,250 gram daging sapi  ( tanpa lemak )  || 5 siung bawang putih || 6 siung bawang merah || 6 buah cabe merah || 1 buah bawang bombay || 1 / 2 buah tomat || 4 sdm kecap manis || 2 sdm saos tiram || 1 sdm merica || 1 buah jeruk nipis || secukupnya garam || secukupnya air || minyak sayur  ( saya menggunakan minyak zaitun )  || ,sapi
9640,tahu kw debm,4 butir telur || 1 santan segitiga || 1 bks agar2 plain || 50 gr keju parut || secukupnya penyedap || ,tahu
4881,kuah marak daging kambing,250 gr daging kambing || 250 gr tulang iga dan tulang yg bersum2 ( tulangnya yg msh ada daging nempel2 nya )  || 2 buah tomat uk . sedang ( klo pke yg besar 1 jg udh ckup )  || 1 buah bawang bombay || 1 sdt peres bumbu gule || 1 btg kayu manis uk . jari telunjuk || 5 buah cengkeh || 2 liter air ||  🌿 bumbu halus  :  || 1 ruas jahe uk . jari telunjuk || 1 ruas kunyit uk . jari telunjuk || 5 siung bawang putih || sejumput gula || secukupnya garam || 1 / 2 sdt merica bubuk ||  🍃 pelengkap  :  || secukupnya bawang goreng || ,kambing
2949,130. tuna corn puff,"1 kaleng chili tuna kalengan  ( me pakai tuna maya )  || 2 bh bawang putih ,  haluskan || 1 bh jagung ,  sisir lalu rebus || 1 bh bawang bombay ,  iris  ( tambahan dr sy )  || chili flakes / bon cabe  ( me skip )  || secukupnya garam ,  gula dan lada bubuk || 2 btr telur rebus ,  potong2 || 1 kotak puff patry instan || secukupnya oregano dan saus sambal  ( resep asli parsley )  || ",ikan
8234,bola bola tahu,1 / 5 kg tahu || 5 sdm tepung terigu || 1 butir telur kocok lepas || 10 - 20 butir telur puyuh rebus || 1 sdt merica || 1 sdt ketumbar || daun seledri iris tipis  ( optional )  || daun bawang iris tipis  ( optional )  || 1 sdt kaldu bubuk  ( saya pake 1 bks royco )  || 1 / 4 tepung panir || bumbu halus || 5 siung bawang putih || 2 siung bawang merah || ,tahu
3017,dory chrispy,ikan dori filet || jeruk nipis || bawang putih || garam || merica || kaldu bubuk || telur || bahan tepung  :  || 5 sendok sayur tepung terigu || 1 sendok sayur maizena || ,ikan
921,dendeng ayam praktis,1 / 4 dada ayam || 1 / 2 butir kelapa parut || 1 sachet royko ayam || 4 sdm kanji || minyak utk menggoreng || bumbu yg di haluskan || 4 butir bawang merah || 3 butir bawang putih || 1 cm kunyit || 1 cm jahe || 1 sdt ketumbar bubuk || 1 lembar daun jeruk || ,ayam
12130,tempe kering teri medan #bandung_recooksariutamikimdonghwa,"1 papan tempe || 100 gr teri medan || 3 lbr daun jeruk || sedikit air || secukupnya gula merah ,  gula pasir dan garam ||  # bumbu halus :  || 4 bh cabe merah || 2 siung bawang merah || 4 siung bawang putih || ",tempe
10611,telur dadar ala padang,4 butir telur || 3 siung bawang merah || 3 siung bawang putih || daun bawang || secukupnya cabai || garam || ,telur
2859,5. sarden magic,1 kaleng sarden abc || 1 pcs cabe hijau besar || 6 pcs cabe setan || 3 pcs bawang merah || 3 pcs bawang putih || ,ikan
4760,tongseng kambing,bahan :  || 250 gr daging kambing || 2 lembar daun salam || 1 cm jahe geprek || air untuk merebus daging || 250 ml santan sedang || bahan lain :  || 1 lembar daun jeruk || 2 lembar daun salam || 1 batang serai || jintan || kapulaga || cengkeh || bumbu halus  :  || 4 butir bawang merah || 2 siung bawang putih || 1 / 2 sdt ketumbar || 1 / 4 sdt merica || 1 / 2 cm kunyit || 2 butir kemiri || garam || gula || pelengkap :  || irisan kol sesuai selera || irisan tomat || sesuai selera cabe rawit setan utuh || bawang goreng || ,kambing
2695,sambal ikan kembung,3 ekor ikan kembung || 2 bh cabe tanjung || 8 buah cabe rawit orange || 10 siung bawang merah || 1 sdt masako sapi || 1 / 2 sdt garam || 1 1 / 2 sdt gula pasir || 6 sdm minyak goreng || ,ikan
1806,ayam geprek,2 potong ayam || 2 siung bawang putih || 1 ruas jari kunyit || 6 cabe rawit merah || 1 bks tepung serbaguna || secukupnya garam || ,ayam
1023,chicken chili glaze,"400 gram ayam  ( 3 paha utuh )  || 2 sdm blueband || 3 sdm sambal surabaya  # lihatresep  ( sambal lain jg bisa )  || 150 ml santan  ( 150 air  +  1 sachet santan bubuk )  || 1 buah daun salam ,  daun jeruk .  seiris tipis lengkuas || 1 sdt palm sugar || 1 sdt air asam jawa  ( lemon )  || ",ayam
11861,tempe goreng tepung sejuta umat,1 / 2 papan tempe || 1 gelas air || 1 sendok ketumbar || 6 bawang putih || segelas tepung terigu || ,tempe
1915,gurame crispy asam manis ala amih fatih,bumbu ikan  :  || 1 ekor ikan gurame fillet || 1 buah jeruk nipis || 1 sdt lada bubuk || 1 / 2 sdt garam || 1 siung bawang putih || 1 pack tepung serbaguna pedas || 1 buah telur kocok lepas || saus  :  || 1 buah bawang bombay iris || 1 buah bawang putih iris || 1 buah wortel potong sesuai selera || 1 sdm saus tiram || 5 sdm saus tomat || 6 sdm saus sambal || secukupnya gula || secukupnya garam || secukupnya lada || secukupnya air || ,ikan
10841,nasi telur mentega,2 porsi nasi putih || 2 telur ayam kocok lepas || 3 siung bawang putih iris || 2 siung bawang merah iris || 1 sendok makan butter /  margarin || secukupnya garam || secukupnya lada bubuk putih || 1 sendok teh abon nori  ( kalo gk ada gpp ya moms gk harus kok )  || 1 sendok teh minyak goreng || ,telur
10642,telur tim,3 butir telur kampung || 5 sendok sayur air kaldu ayam || 1 tangkai daun bawang iris tipis2 || secukupnya garam || bubuk bawang putih || kecap asin || merica  &  kaldu bubuk || ,telur
12842,balado tempe pete,"1 / 2 papan tempe || sckpnya pete || 2 biji cabe merah besar || 1 bh tomat || 15 biji cabe rawit || 1 bh bawang putih || 5 bh bawang merah || sckpnya garam , gula || ",tempe
3839,sop kaki kambing,"4 kaki kambing || 2 - 3 buah kentang ,  potpng dadu besar || 3 - 4 batang daun bawang ,  iris 2 cm || 2 - 3 l air panas || 2 - 3 sdm minyak utk menumis || bumbu halus :  || 4 buah bawang merah || 8 buah bawang putih || 1 sdm garam || 1 sdt lada bubuk || 1 / 2 sdt pala bubuk || bumbu lainnya :  || 5 buah cengkeh || 4 buah kapulaga india || 1 batang kayu manis || 2 buah star anise || 4 lembar salam koja  ( bay leaves )  || ",kambing
5650,nasi zurbiyan,nasi basmati || paha kambing || pasta tomat || tomat segar || bawang bombay || bumbu adabi / rempah || bawang putih || butter || ,kambing
8533,sayur tahu taoge,100 g taoge || 4 buah tahu pong / putih || 1 btg daun bawang || 3 bawang merah || 2 bawang putih || merica || royco || garam || kecap manis || ,tahu
4789,kambing lada hitam,secukupnya daging kambing yang sudah dipotong - potong || 3 siung bawang putih || 4 siung bawang merah || 3 buah cabai merah besar || 3 cm jahe || secukupnya kecap manis || secukupnya lada hitam || secukupnya garam || secukupnya gula || secukupnya air || minyak untuk menumis || ,kambing
3025,tumis tuna kaleng,1 / 2 kaleng tuna marina || 1 bawang putih ukuran besar || 3 bawang merah || 4 cabe rawit || gula || garam || kecap || olive oil || ,ikan
9552,"tumis kacang polong, tahu, jamur","1 kaleng kacang polong || 1 kaleng jamur kancing || 2 buah tahu putih || 1 / 4 potong ayam fillet || 2 siung bawang putih || 1 / 2 potong bawang bombay || 1 sdm tepung maizena ,  garam dan bumbu penyedap lainnya || ",tahu
